PRODNUMB,OPT_PRODNUMB
44,37
44,41
44,42
44,109
44,111
71,26
71,27
71,28
71,29
71,39
71,101
71,110
72,26
72,27
72,28
72,29
72,39
72,101
72,110
92,37
92,40
92,41
92,42
92,100
92,109
92,111
94,37
94,40
94,41
94,42
94,100
94,109
94,111
108,26
108,27
108,28
108,29
108,39
108,101
108,110
118,26
197,26
197,27
197,28
197,29
197,39
197,101
197,104
197,110
198,26
198,27
198,28
198,29
198,39
198,101
198,104
198,110
199,26
199,27
199,28
199,29
199,39
199,101
199,104
199,110
994,37
994,40
994,41
994,42
994,100
994,109
994,111
