CODEALPH,ST_CODENUM,ITEM
A,2,FILLET from Kff
A,3,CHUNKS from Kff
A,5,Aviko 215031 9.5mm
A,6,AVIKO 215027 9.5mm
A,7,BUNs Falcone 4"
A,8,BUNs Americana
A,9,CHEESE SLICES
A,10,BACON
A,11,APPLE PIE
A,12,TORTILA CasaSerano
A,13,ONION RING Bags 1k
A,14,Sysco 215021 10mm 
A,15,MOZRELA single bag
A,16,COLA BAG'n'BOX 10L
A,17,DIET BAG'n'BOX 10L
A,18,ORANGE BAG'n'B 10L
A,19,LEMON BAG'n'BX 10L
A,20,Co2 GAS GREY Stubb
A,21,COKE CLASSIC  CANS
A,22,DIET COKE CANS
A,23,TANGO ORANGE CANS
A,24,7UP LEMON CANS
A,25,BOTTLED WATER 500m
A,26,ICEBERG Tesco 89p
A,27,TOMATOES ( VINE )
A,28,RED ONIONS 10 kgs
A,29,PEELD GARLIC 600pt
A,30,MILK single pints
A,33,PINEAPPLE SLICES
A,35,CHILLI SAUCE
A,36,MAYONNAISE
A,37,KETCHUP CHOICE UKY
A,38,HALOUMI FRZN Fries
A,39,MssionTortillas10"
A,40,THOUSAND ISLAND
A,41,FRENCH'S MUSTARD
A,44,DILL cucumbers
A,45,BBQ 
A,46,BLUE CHEESE SLICES
A,47,JERSEY THICKSHAKE
A,48,QUORN BACON
A,49,TOFFEE FLAVOUR
A,50,BANANA FLAVOUR
A,51,CHOCOLATE FLAVOUR
A,52,STRAWBERRY FLAVOUR
A,53,MEAT Kff del green
A,56,RAPE SEED OIL noGM
A,57,SALT SACHET
A,58,SALT (BULK)
A,59,SUGAR 1 kgs BAGS
A,61,TEA BAGS
A,62,GOLD BLEND COFFEE
A,63,KV VEGGIE BURGER
A,64,KV SPICYBEANBURGER
A,65,COKE CLASSIC 500ml
A,66,DIET COKE 500ml
A,67,TANGO ORANGE 500ml
A,68,7UP LEMON 500ml
A,69,PEPSI FAMILY BOTLE
A,71,FRUIT SHOOT ORANGE
A,72,FRUIT SHOOT APPL-B
A,79,BLUE CHEESE WEDGE
A,80,KTC RAPESEED H/O
A,86,TOMATO PASTE cases
A,91,BIRDSEYE CHILLIES
A,92,Mushroom Bites
A,93,AVIKO S/C215036 7m
A,96,Sysco Classic 6mm
A,100,GELART CHOC SAUCE
A,101,GELART TOFEE SAUCE
A,102,LOTUS BISCOF SAUCE
A,110,FROZN ONIONS 2x5kg
A,111,FRZN PEPER 1x2.5kg
A,120,OREO CRUMB
A,121,LOTUS BISCOFF crum
A,122,FLAKE STICKS
A,131,SUTHERN FRY STRIPS
A,139,TERRY CHOC ORANGE
A,140,Kinder Bueno Crumb
B,1,BROWN SAMS CARRIER
B,2,WHITE Carrier Med 
B,4,WHTE CAR Lg 304472
B,5,SERVIETTES
B,6,HAMBURGR BAG
B,8,CHEESEBRG BAG 3.17
B,10,CHILIBRGR BAG 3.17
B,11,SIDE ORDER BAG
B,13,CHICKEN SPECIAL BG
B,14,BACON BAG
B,15,VEGGIE SPECIAL BAG
B,16,PLAIN BAGS 2.65gms
B,17,ALLSTAR BAG 3.17g
B,18,BIGGEST BAG 3.77gm
B,19,BURGER CHOICE BAG
B,20,FRY BAG RED JULEN
B,21,FRY BAG YELLOW 3/8
B,22,FRY BAG YELOW JULN
B,23,FRY BAG BROWN 3/8 
B,24,PLATTER BOXES 2x50
B,26,FOIL BACKED SHEETS
B,30,LIDS REGR 80m 1.4g
B,32,CUPS KIDS in tubes
B,33,CUPS REG 0.3L 
B,35,LIDS LARGE 90mm
B,36,CUPS LARGE 0.4L
B,37,CUPS 16oz Gafbros
B,38,HOT CUPS medium
B,39,HOT LIDS medium
B,40,SPR JUMBO STRAW
B,44,DIP POTS GP 1.082g
B,45,DIP LIDS GP 0.568g
B,47,CUP HOLDER 2 CUP
B,50,CHILLI BUCKETS
B,100,SUPER SHK CUP 16oz
B,105,SUPER SHKE XL 20oz
B,110,SUPER SHK LID 95mm
